teamId,teamName,accessCode,member1,member2,member3
CRL-0001,"Qualifier Team 1",CR-5001,"Participant 1A","Participant 1B","Participant 1C"
CRL-0002,"Qualifier Team 2",CR-5002,"Participant 2A","Participant 2B","Participant 2C"
CRL-0003,"Qualifier Team 3",CR-5003,"Participant 3A","Participant 3B","Participant 3C"
CRL-0004,"Qualifier Team 4",CR-5004,"Participant 4A","Participant 4B","Participant 4C"
CRL-0005,"Qualifier Team 5",CR-5005,"Participant 5A","Participant 5B","Participant 5C"
CRL-0006,"Qualifier Team 6",CR-5006,"Participant 6A","Participant 6B","Participant 6C"
CRL-0007,"Qualifier Team 7",CR-5007,"Participant 7A","Participant 7B","Participant 7C"
CRL-0008,"Qualifier Team 8",CR-5008,"Participant 8A","Participant 8B","Participant 8C"
CRL-0009,"Qualifier Team 9",CR-5009,"Participant 9A","Participant 9B","Participant 9C"
CRL-0010,"Qualifier Team 10",CR-5010,"Participant 10A","Participant 10B","Participant 10C"
CRL-0011,"Qualifier Team 11",CR-5011,"Participant 11A","Participant 11B","Participant 11C"
CRL-0012,"Qualifier Team 12",CR-5012,"Participant 12A","Participant 12B","Participant 12C"
CRL-0013,"Qualifier Team 13",CR-5013,"Participant 13A","Participant 13B","Participant 13C"
CRL-0014,"Qualifier Team 14",CR-5014,"Participant 14A","Participant 14B","Participant 14C"
CRL-0015,"Qualifier Team 15",CR-5015,"Participant 15A","Participant 15B","Participant 15C"
CRL-0016,"Qualifier Team 16",CR-5016,"Participant 16A","Participant 16B","Participant 16C"
CRL-0017,"Qualifier Team 17",CR-5017,"Participant 17A","Participant 17B","Participant 17C"
CRL-0018,"Qualifier Team 18",CR-5018,"Participant 18A","Participant 18B","Participant 18C"
CRL-0019,"Qualifier Team 19",CR-5019,"Participant 19A","Participant 19B","Participant 19C"
CRL-0020,"Qualifier Team 20",CR-5020,"Participant 20A","Participant 20B","Participant 20C"
CRL-0021,"Qualifier Team 21",CR-5021,"Participant 21A","Participant 21B","Participant 21C"
CRL-0022,"Qualifier Team 22",CR-5022,"Participant 22A","Participant 22B","Participant 22C"
CRL-0023,"Qualifier Team 23",CR-5023,"Participant 23A","Participant 23B","Participant 23C"
CRL-0024,"Qualifier Team 24",CR-5024,"Participant 24A","Participant 24B","Participant 24C"
CRL-0025,"Qualifier Team 25",CR-5025,"Participant 25A","Participant 25B","Participant 25C"
CRL-0026,"Qualifier Team 26",CR-5026,"Participant 26A","Participant 26B","Participant 26C"
CRL-0027,"Qualifier Team 27",CR-5027,"Participant 27A","Participant 27B","Participant 27C"
CRL-0028,"Qualifier Team 28",CR-5028,"Participant 28A","Participant 28B","Participant 28C"
CRL-0029,"Qualifier Team 29",CR-5029,"Participant 29A","Participant 29B","Participant 29C"
CRL-0030,"Qualifier Team 30",CR-5030,"Participant 30A","Participant 30B","Participant 30C"
CRL-0031,"Qualifier Team 31",CR-5031,"Participant 31A","Participant 31B","Participant 31C"
CRL-0032,"Qualifier Team 32",CR-5032,"Participant 32A","Participant 32B","Participant 32C"
CRL-0033,"Qualifier Team 33",CR-5033,"Participant 33A","Participant 33B","Participant 33C"
CRL-0034,"Qualifier Team 34",CR-5034,"Participant 34A","Participant 34B","Participant 34C"
CRL-0035,"Qualifier Team 35",CR-5035,"Participant 35A","Participant 35B","Participant 35C"
CRL-0036,"Qualifier Team 36",CR-5036,"Participant 36A","Participant 36B","Participant 36C"
CRL-0037,"Qualifier Team 37",CR-5037,"Participant 37A","Participant 37B","Participant 37C"
CRL-0038,"Qualifier Team 38",CR-5038,"Participant 38A","Participant 38B","Participant 38C"
CRL-0039,"Qualifier Team 39",CR-5039,"Participant 39A","Participant 39B","Participant 39C"
CRL-0040,"Qualifier Team 40",CR-5040,"Participant 40A","Participant 40B","Participant 40C"
